Centrum školského managementu	CŠM
katedra anglického jazyka a literatury	KAJL
katedra biologie a environmentálních studií	KBES
kbev	KBEV
katedra české literatury	KČL
katedra českého jazyka	KČJ
kčjl	KČJL
katedra dějin a didaktiky dějepisu	KDDD
katedra francouzského jazyka a literatury	KFJL
katedra germanistiky	KG
katedra hudební výchovy	KHV
katedra chemie a didaktiky chemie	KCHDCH
katedra informačních technologií a technické výchovy	KITTV
katedra matematiky a didaktiky matematiky	KMDM
katedra občanské výchovy a filozofie	KOVF
KPgŠPs	KPgŠPs
katedra pedagogiky	KPg
katedra primární pedagogiky	KPPg
katedra psychologie	KPsy
katedra rusistiky a lingvodidaktiky	KRL
katedra speciální pedagogiky	KSpPg
KŠSPg	KŠSPg
katedra tělesné výchovy	KTV
katedra výtvarné výchovy	KVV
Ústav výzkumu a rozvoje vzdělávání	ÚVRV
